SUMMARY OF ALL EPFL LABS (AS PER 13.01.2013),,,,,,,
,,,,,,,
key:,,,,,,,
,Labs,,,,,,
,Labs with interinstitutional link,,link indicated where possible,,,,
,,,,,,,
,,,,,,,
ABBREV,FULL NAME,,PI,"INTER
INSTITUTIONAL LINK",,,
,,,,,,,
SCHOOL OF BASIC SCIENCES,,,,,,,
,,,,,,,
LOEQ,Laboratory of Quantum Optoelectronics,,Deveaud-Plédran Benoît,,,,
LPMC,Laboratory of Nanostructures and Novel Electronic Materials,,Forró László,,,,
LPMN,Laboratory of the Physics of Nanostructured Materials,,Ansermet Jean-Philippe,,,,
LPN,Laboratory of the Physics of Nanostructures,,Kapon Elyahou,,,,
LPQM1,Laboratory of Photonics and Quantum Measurements (SB/STI),,Kippenberg Tobias,,,,
LQM,Laboratory for Quantum Magnetism,,Rønnow Henrik,,,,
LSE,Laboratory of Photoelectron Spectroscopy,,Margaritondo Giorgio,,,,
LSEN,Laboratory of Nanoscale Science,,Kern Klaus,,,,
LSME,Electron Spectrometry and Microscopy Laboratory,,Hébert Cécile,,,,
LSNS,Laboratory for synchrotron and neutron spectroscopy,,Mesot Joël,,,,
LUMES,Laboratory for ultrafast microscopy and electron scattering,,Carbone Fabrizio,,,,
,,,,,,,
IPSB,Institute of the Physics of Biological Systems,,Dietler Giovanni,,,,
LBBS,Laboratory of Structural Biology and Biophysics,,Leiman Petr,,,,
LCB,Laboratory of Cell Biophysics,,Meister Jean-Jacques,,,,
LEB,Laboratory of Experimental Biophysics,,Manley Suliana,,,,
LIFMET,Laboratory of functional and metabolic imaging,,Gruetter Rolf,,,,
LPMV,Laboratory of the Physics of Living Matter,,Dietler Giovanni,,,,
LPRX,X-Ray Physics Laboratory,,Margaritondo Giorgio,,,,
,,,,,,,
ITP,Institute of Theoretical Physics,,Pasquarello Alfredo,,,,
C3PN,Chair of Computational Chemical Physics on the Nanoscale,,Andreoni Wanda,,,,
CSEA,Chair of Atomic Scale Simulation,,Pasquarello Alfredo,,,,
CTMC,Chair of Condensed Matter Theory,,Mila Frédéric,,,,
LBS,Laboratory of Statistical Biophysics,,De Los Rios Paolo,,,,
LPPC,Laboratory of Particle Physics and Cosmology,,Shaposhnikov Mikhail,,,,
LPTP,Theoretical Particle Physics Laboratory,,Rattazzi Riccardo,,,,
LTPN,Laboratory of Theoretical Physics of Nanosystems,,Savona Vincenzo,,,,
UPTHOMALE,Prof. Thomale Group,,Thomale Ronny,,,,
,,,,,,,
SCHOOL OF ENGINEERING,,,,,,,
,,,,,,,
IBI-STI,Interschool Institute of Bioengineering (STI),,Swartz Melody,,,,
BIOROB,Biorobotics Laboratory,,Ijspeert Auke,linked to which school/institution?,,,
CLSE,Swiss-up engineering Chair - Laboratory of Life Sciences Electronics,,Guiducci Carlotta,,,,
CNBI,Defitech Foundation Chair in Non-invasive Brain-machine Interface,,Millán José del R.,linked to which school/institution?,,,
LBEN,Laboratory of Nanoscale Biology,,Radenovic Aleksandra,linked to which school/institution?,,,
LBNC,Laboratory of Biological Network Characterization,,Maerkl Sebastian,linked to which school/institution?,,,
LBNI,Laboratory for Bio- and Nano-Instrumentation,,Fantner Georg,linked to which school/institution?,,,
LBP /  CJJP,Julia Jacobi Chair of Photomedicine - Laboratory for fundamental BioPhotonics,,Roke Sylvie,linked to which school/institution?,,,
